1330732800024,1330732800024,49, ICMP Echo Reply , Classification: Misc activity, 10.1.0.2 ,53, 10.0.2.222,2093,4.0
1330733100024,1330733100024,50, ICMP Destination Unreachable Host Unreachable , Classification: Misc activity, 4.4.4.1 ,53, 10.0.0.2,2093,4.0
1330732800025,1330732800025,51, ICMP PING , Classification: Misc activity, 10.0.3.142 ,53, 10.1.0.2,2093,1.0
1330733100025,1330733100025,52, ICMP Echo Reply , Classification: Misc activity, 10.1.0.2 ,53, 10.0.3.142,2093,4.0
1330732800026,1330732800026,53, ICMP PING , Classification: Misc activity, 10.0.2.112 ,53, 10.1.0.2,2093,1.0
1330733100026,1330733100026,54, ICMP Echo Reply , Classification: Misc activity, 10.1.0.2 ,53, 10.0.2.112,2093,4.0
1330732800027,1330732800027,55, ICMP Destination Unreachable Host Unreachable , Classification: Misc activity, 4.4.4.1 ,53, 10.0.0.2,2093,4.0
1330733100027,1330733100027,56, ICMP PING , Classification: Misc activity, 10.0.3.148 ,53, 10.1.0.2,2093,1.0
1330732800028,1330732800028,57, ICMP Echo Reply , Classification: Misc activity, 10.1.0.2 ,53, 10.0.3.148,2093,4.0
1330733100028,1330733100028,58, ICMP Destination Unreachable Host Unreachable , Classification: Misc activity, 4.4.4.1 ,53, 10.0.0.2,2093,4.0
1330732800029,1330732800029,59, ICMP PING , Classification: Misc activity, 10.0.2.156 ,53, 10.1.0.2,2093,1.0
1330733100029,1330733100029,60, ICMP Echo Reply , Classification: Misc activity, 10.1.0.2 ,53, 10.0.2.156,2093,4.0
1330732800030,1330732800030,61, ICMP PING , Classification: Misc activity, 10.0.2.65 ,53, 10.1.0.2,2093,1.0
1330733100030,1330733100030,62, ICMP Echo Reply , Classification: Misc activity, 10.1.0.2 ,53, 10.0.2.65,2093,4.0
1330732800031,1330732800031,63, ICMP PING , Classification: Misc activity, 10.0.2.121 ,53, 10.1.0.2,2093,1.0
1330733100031,1330733100031,64, ICMP Echo Reply , Classification: Misc activity, 10.1.0.2 ,53, 10.0.2.121,2093,4.0
1330732800032,1330732800032,65, ICMP Destination Unreachable Host Unreachable , Classification: Misc activity, 4.4.4.1 ,53, 10.0.0.2,2093,4.0
1330733100032,1330733100032,66, ICMP PING , Classification: Misc activity, 10.0.2.125 ,53, 10.1.0.2,2093,1.0
1330732800033,1330732800033,67, ICMP Echo Reply , Classification: Misc activity, 10.1.0.2 ,53, 10.0.2.125,2093,4.0
1330733100033,1330733100033,68, ICMP Destination Unreachable Host Unreachable , Classification: Misc activity, 4.4.4.1 ,53, 10.0.0.2,2093,4.0
1330732800034,1330732800034,69, ICMP PING , Classification: Misc activity, 10.0.2.79 ,53, 10.1.0.2,2093,1.0
1330733100034,1330733100034,70, ICMP Echo Reply , Classification: Misc activity, 10.1.0.2 ,53, 10.0.2.79,2093,4.0
1330732800035,1330732800035,71, ICMP Destination Unreachable Host Unreachable , Classification: Misc activity, 4.4.4.1 ,53, 10.0.0.2,2093,4.0
1330733100035,1330733100035,72, ICMP Destination Unreachable Host Unreachable , Classification: Misc activity, 4.4.4.1 ,53, 10.0.0.2,2093,4.0
1330732800036,1330732800036,73, ICMP Destination Unreachable Host Unreachable , Classification: Misc activity, 4.4.4.1 ,53, 10.0.0.2,2093,4.0
1330733100036,1330733100036,74, ICMP Destination Unreachable Host Unreachable , Classification: Misc activity, 4.4.4.1 ,53, 10.0.0.2,2093,4.0
1330732800037,1330732800037,75, ICMP Destination Unreachable Host Unreachable , Classification: Misc activity, 4.4.4.1 ,53, 10.0.0.2,2093,4.0
1330733100037,1330733100037,76, ICMP PING , Classification: Misc activity, 10.0.0.10 ,53, 10.1.0.2,2093,3.0
1330732800038,1330732800038,77, ICMP Echo Reply , Classification: Misc activity, 10.1.0.2 ,53, 10.0.0.10,2093,4.0
1330733100038,1330733100038,78, ICMP PING , Classification: Misc activity, 10.0.0.10 ,53, 10.1.0.2,2093,3.0
1330732800039,1330732800039,79, ICMP Echo Reply , Classification: Misc activity, 10.1.0.2 ,53, 10.0.0.10,2093,4.0
1330733100039,1330733100039,80, ICMP PING , Classification: Misc activity, 10.0.0.10 ,53, 10.1.0.2,2093,3.0
1330732800040,1330732800040,81, ICMP Echo Reply , Classification: Misc activity, 10.1.0.2 ,53, 10.0.0.10,2093,4.0
1330733100040,1330733100040,82, ICMP PING , Classification: Misc activity, 10.0.0.10 ,53, 10.1.0.2,2093,3.0
1330732800041,1330732800041,83, ICMP Echo Reply , Classification: Misc activity, 10.1.0.2 ,53, 10.0.0.10,2093,4.0
1330733100041,1330733100041,84, ICMP PING , Classification: Misc activity, 10.0.0.10 ,53, 10.1.0.2,2093,3.0
1330732800042,1330732800042,85, ICMP Echo Reply , Classification: Misc activity, 10.1.0.2 ,53, 10.0.0.10,2093,4.0
1330733100042,1330733100042,86, ICMP Destination Unreachable Host Unreachable , Classification: Misc activity, 4.4.4.1 ,53, 10.0.0.2,2093,4.0
1330732800043,1330732800043,87, ICMP PING , Classification: Misc activity, 10.0.2.54 ,53, 10.1.0.2,2093,1.0
1330733100043,1330733100043,88, ICMP Echo Reply , Classification: Misc activity, 10.1.0.2 ,53, 10.0.2.54,2093,4.0
1330732800044,1330732800044,89, ICMP PING , Classification: Misc activity, 10.0.2.54 ,53, 10.1.0.2,2093,1.0
1330733100044,1330733100044,90, ICMP Echo Reply , Classification: Misc activity, 10.1.0.2 ,53, 10.0.2.54,2093,4.0
1330732800045,1330732800045,91, ICMP Destination Unreachable Host Unreachable , Classification: Misc activity, 4.4.4.1 ,53, 10.0.0.2,2093,4.0
1330733100045,1330733100045,92, ICMP Destination Unreachable Host Unreachable , Classification: Misc activity, 4.4.4.1 ,53, 10.0.0.2,2093,4.0
1330732800046,1330732800046,93, ICMP PING , Classification: Misc activity, 10.0.0.10 ,53, 10.1.0.2,2093,3.0
1330733100046,1330733100046,94, ICMP Echo Reply , Classification: Misc activity, 10.1.0.2 ,53, 10.0.0.10,2093,4.0
1330732800047,1330732800047,95, ICMP PING , Classification: Misc activity, 10.0.3.72 ,53, 10.1.0.2,2093,1.0
1330733100047,1330733100047,96, ICMP Echo Reply , Classification: Misc activity, 10.1.0.2 ,53, 10.0.3.72,2093,4.0
1330732800048,1330732800048,97, ICMP PING , Classification: Misc activity, 10.0.2.20 ,53, 10.1.0.2,2093,1.0
1330733100048,1330733100048,98, ICMP Echo Reply , Classification: Misc activity, 10.1.0.2 ,53, 10.0.2.20,2093,4.0
1330732800049,1330732800049,99, ICMP Destination Unreachable Host Unreachable , Classification: Misc activity, 4.4.4.1 ,53, 10.0.0.2,2093,4.0
1330733100049,1330733100049,100, ICMP PING , Classification: Misc activity, 10.0.2.22 ,53, 10.1.0.2,2093,1.0
1330732800050,1330732800050,101, ICMP Echo Reply , Classification: Misc activity, 10.1.0.2 ,53, 10.0.2.22,2093,4.0
1330733100050,1330733100050,102, ICMP Destination Unreachable Host Unreachable , Classification: Misc activity, 4.4.4.1 ,53, 10.0.0.2,2093,4.0
1330732800051,1330732800051,103, ICMP Destination Unreachable Host Unreachable , Classification: Misc activity, 4.4.4.1 ,53, 10.0.0.2,2093,4.0
1330733100051,1330733100051,104, ICMP PING , Classification: Misc activity, 10.0.2.62 ,53, 10.1.0.2,2093,1.0
1330732800052,1330732800052,105, ICMP Echo Reply , Classification: Misc activity, 10.1.0.2 ,53, 10.0.2.62,2093,4.0
1330733100052,1330733100052,106, ICMP Destination Unreachable Host Unreachable , Classification: Misc activity, 4.4.4.1 ,53, 10.0.0.2,2093,4.0
